Scope,League,ModelWeight,OddsWeight,IsGridWeight,IsProductionWeight,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,IsOverallOptimum
overall,ALL,0.45,0.55,True,False,2978,0.4865681665547347,1.0304504036325224,0.6186878558166428,0.4801880456682337,0.26596938188621255,0.25453324378777703,0.18968773290734894,0.005379351555512724,0.002001447778029253,0.008509545574666665,0.003246929536957821,0.0009663070272164121,0.005454158844267558,False
overall,ALL,0.5,0.5,True,False,2978,0.4855607790463398,1.0315234689093318,0.6194099332366015,0.47548690396239085,0.2664417852708626,0.25453324378777703,0.18972401334312106,0.0064524168323221165,0.0027014025136926634,0.009931104341103718,0.003969006956916599,0.0014274424704639633,0.006420517491000795,False
overall,ALL,0.55,0.44999999999999996,True,False,2978,0.4842175957018133,1.0326903313263152,0.6202042721508417,0.47212894560107455,0.2669141886555126,0.25453324378777703,0.18976705081530526,0.0076192792493054995,0.0035055246211714076,0.011435343544841575,0.004763345871156788,0.00195559065320543,0.007462357773646709,False
overall,ALL,0.6,0.4,True,False,2978,0.4852249832102082,1.0339513198074306,0.6210708725593637,0.4728005372733378,0.2673865920401627,0.25453324378777703,0.1898168453239016,0.008880267730420943,0.0043924154363038925,0.013024691638992383,0.005629946279678721,0.0025538122788036108,0.00856466370742553,False
overall,ALL,0.65,0.35,True,False,2978,0.48488918737407655,1.035306982564503,0.6220097344621672,0.47044996642041637,0.2678589954248127,0.25453324378777703,0.18987339686891003,0.010235930487493272,0.005369791734338348,0.014719703712065706,0.006568808182482289,0.0032221077169532876,0.009743353389396567,False
overall,ALL,0.7,0.30000000000000004,True,False,2978,0.4845533915379449,1.0367580934260965,0.6230208578592522,0.46877098723975824,0.2683313988094627,0.25453324378777703,0.1899367054503306,0.011687041349086824,0.006464923695588298,0.016510111884914462,0.007579931579567267,0.003961152356373077,0.01098908506612357,False
overall,ALL,0.75,0.25,True,False,2978,0.4822028206850235,1.0383056623162055,0.6241042427506188,0.4654130288784419,0.26880380219411276,0.25453324378777703,0.19000677106816324,0.01323461023919581,0.007622102891963795,0.01838561777427961,0.00866331647093388,0.004770367024315636,0.012324343195003794,False
overall,ALL,0.8,0.19999999999999996,True,False,2978,0.4811954331766286,1.03995095055833,0.6252598891362671,0.46071188717259903,0.26927620557876275,0.25453324378777703,0.19008359372240805,0.01487989848132032,0.008904372197971504,0.020355887666682507,0.009818962856582125,0.005664420721668553,0.013765993104913804,False
overall,ALL,0.85,0.15000000000000002,True,False,2978,0.4788448623237072,1.0416954920514665,0.6264877970161968,0.4600402955003358,0.2697486089634128,0.25453324378777703,0.19016717341306494,0.01662443997445684,0.010279338919813369,0.022440147545930093,0.011046870736511893,0.006629478387929882,0.015256176424754879,False
overall,ALL,0.9,0.09999999999999998,True,False,2978,0.4785090664875756,1.0435411218966713,0.6277879663904082,0.4630624580255205,0.2702210123480628,0.25453324378777703,0.19025751014013398,0.018470069819661594,0.011763838627184048,0.024673555109814956,0.012347040110723295,0.0076715612286963,0.016815202527196448,False
overall,ALL,0.95,0.050000000000000044,True,False,2978,0.47716588314304903,1.0454900148544475,0.6291603972589012,0.46272666218938885,0.2706934157327128,0.25453324378777703,0.1903546039036151,0.02041896277743782,0.013342440706455572,0.027021364431127962,0.01371947097921622,0.008772637928017777,0.018434809755221396,False
overall,ALL,1.0,0.0,True,False,2978,0.47414372061786436,1.0475447372740743,0.6306050896216757,0.4650772330423103,0.27116581911736287,0.25453324378777703,0.19045845470350833,0.022473685197064608,0.015002298770025391,0.02942629059651649,0.015164163341990777,0.009941391414142306,0.020128295438318487,False
league,E0,0.0,1.0,True,False,553,0.5171790235081374,0.9968868806269671,0.5963361214062343,0.620253164556962,0.24058659775854319,0.24954792043399637,0.18747553152436483,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,True
league,E0,0.05,0.95,True,False,553,0.5244122965641953,0.9972933975932351,0.5963826341924129,0.5786618444846293,0.24198461213921027,0.24954792043399637,0.1874499782258057,0.00040651696626803346,-0.0007047203799967928,0.001452109744967142,4.651278617862076e-05,-0.0006851519163129816,0.0007390579837365129,False
league,E0,0.1,0.9,True,False,553,0.5207956600361664,0.9978611287081697,0.5965575224126517,0.5714285714285714,0.24338262651987727,0.24954792043399637,0.18743792416592692,0.0009742480812026111,-0.0012355479406037594,0.0030611424263539797,0.0002214010064174321,-0.001245236562168267,0.0016054487163198949,False
league,E0,0.15,0.85,True,False,553,0.5171790235081374,0.9985872945404283,0.5968607860669507,0.5623869801084991,0.24478064090054438,0.24954792043399637,0.18743936934472843,0.0017004139134612073,-0.0015967969696169815,0.00483148646666103,0.000524664660716434,-0.0016832342574679333,0.0026037967746245488,False
league,E0,0.2,0.8,True,False,553,0.5135623869801085,0.9994696846519137,0.5972924251553098,0.5623869801084991,0.24617865528121138,0.24954792043399637,0.18745431376221028,0.0025828040249465944,-0.0017617369650786974,0.006721977116319675,0.0009563037490755155,-0.0019981306220209273,0.0037381833437780134,False
league,E0,0.25,0.75,True,False,553,0.515370705244123,1.000506610769815,0.5978524396777289,0.5587703435804702,0.2475766696618785,0.24954792043399637,0.18748275741837245,0.003619730142847999,-0.001750957178844592,0.008759861807692665,0.0015163182714946766,-0.0021519091499994534,0.004994995062177554,False
league,E0,0.3,0.7,True,False,553,0.5171790235081374,1.0016968708571876,0.5985408296342083,0.5479204339963833,0.2489746840425455,0.24954792043399637,0.18752470031321491,0.004809990230220551,-0.00160370934368933,0.010991305550246853,0.002204708227974028,-0.0022297985595604057,0.006395986994090123,False
